seed,optimizer,lr,effective_lr,train_loss,val_loss,val_accuracy,steps,samples_seen,seconds,peak_memory_mb
123,AdamW,0.003,0.003,2.095494508743286,1.8268166594207287,0.42724609375,8,512,0.01867283135652542,246.2119140625
123,Lion,0.001,0.001,2.281224012374878,2.23736135661602,0.30029296875,8,512,0.02311749756336212,244.095703125
123,Muon,0.003,0.03,1.573541522026062,0.9895117077976465,0.8115234375,8,512,0.037619564682245255,244.09814453125
124,AdamW,0.003,0.003,2.1223843097686768,1.9741325676441193,0.52392578125,8,512,0.013148616999387741,246.2119140625
124,Lion,0.001,0.001,2.2525410652160645,2.234271578490734,0.34814453125,8,512,0.014485538005828857,244.095703125
124,Muon,0.003,0.03,1.5854846239089966,1.161865096539259,0.75,8,512,0.09832438081502914,244.09814453125
125,AdamW,0.003,0.003,2.0980234146118164,1.8516728691756725,0.49609375,8,512,0.4772632122039795,246.2119140625
125,Lion,0.001,0.001,2.2804718017578125,2.2333389967679977,0.19970703125,8,512,0.2801383100450039,244.095703125
125,Muon,0.003,0.03,1.679878830909729,0.9544592574238777,0.99072265625,8,512,0.32181406766176224,244.09814453125
126,AdamW,0.003,0.003,2.251336097717285,2.231559932231903,0.2001953125,8,512,0.017758984118700027,246.2119140625
126,Lion,0.001,0.001,2.285845994949341,2.2806733697652817,0.30029296875,8,512,0.0154331736266613,244.095703125
126,Muon,0.003,0.03,1.852454423904419,1.4820567108690739,0.748046875,8,512,0.06524575129151344,244.09814453125
127,AdamW,0.003,0.003,2.1087684631347656,1.9389041252434254,0.47509765625,8,512,0.015869945287704468,246.2119140625
127,Lion,0.001,0.001,2.2574052810668945,2.2499455884099007,0.19970703125,8,512,0.01677919179201126,244.095703125
127,Muon,0.003,0.03,1.6652576923370361,1.0637481436133385,0.94921875,8,512,0.0396878719329834,244.09814453125
