seed,optimizer,lr,effective_lr,train_loss,val_loss,val_accuracy,steps,samples_seen,seconds,peak_memory_mb
123,AdamW,0.0003,0.0003,2.3149235248565674,2.29989106208086,0.1005859375,8,512,0.45606933161616325,246.2119140625
123,AdamW,0.001,0.001,2.29536771774292,2.2660778388381004,0.17724609375,8,512,0.04661836847662926,246.2119140625
123,AdamW,0.003,0.003,2.095494508743286,1.8268166594207287,0.42724609375,8,512,0.01867283135652542,246.2119140625
123,Lion,0.0001,0.0001,2.3105647563934326,2.302381746470928,0.10009765625,8,512,0.023381121456623077,244.095703125
123,Lion,0.0003,0.0003,2.3125219345092773,2.29863041639328,0.10009765625,8,512,0.019533175975084305,244.095703125
123,Lion,0.001,0.001,2.281224012374878,2.23736135661602,0.30029296875,8,512,0.02311749756336212,244.095703125
123,Muon,0.0003,0.0029999999999999996,2.308955430984497,2.297341302037239,0.10009765625,8,512,0.26337549835443497,244.09814453125
123,Muon,0.001,0.01,2.2918899059295654,2.257269725203514,0.11474609375,8,512,0.18588613718748093,244.09814453125
123,Muon,0.003,0.03,1.573541522026062,0.9895117077976465,0.8115234375,8,512,0.037619564682245255,244.09814453125
124,AdamW,0.0003,0.0003,2.3090720176696777,2.2995771020650864,0.1318359375,8,512,0.32659875974059105,246.2119140625
124,AdamW,0.001,0.001,2.2806308269500732,2.2710816487669945,0.5029296875,8,512,0.013235602527856827,246.2119140625
124,AdamW,0.003,0.003,2.1223843097686768,1.9741325676441193,0.52392578125,8,512,0.013148616999387741,246.2119140625
124,Lion,0.0001,0.0001,2.30891752243042,2.3026275783777237,0.2412109375,8,512,0.02039748802781105,244.095703125
124,Lion,0.0003,0.0003,2.304854393005371,2.2976193875074387,0.17138671875,8,512,0.017005108296871185,244.095703125
124,Lion,0.001,0.001,2.2525410652160645,2.234271578490734,0.34814453125,8,512,0.014485538005828857,244.095703125
124,Muon,0.0003,0.0029999999999999996,2.306037425994873,2.297807388007641,0.10009765625,8,512,0.17334214597940445,244.09814453125
124,Muon,0.001,0.01,2.2752325534820557,2.2611039578914642,0.38818359375,8,512,0.03264860808849335,244.09814453125
124,Muon,0.003,0.03,1.5854846239089966,1.161865096539259,0.75,8,512,0.09832438081502914,244.09814453125
125,AdamW,0.0003,0.0003,2.310206174850464,2.3022442311048508,0.10009765625,8,512,0.4138859733939171,246.2119140625
125,AdamW,0.001,0.001,2.296175479888916,2.270508646965027,0.10009765625,8,512,0.3746861070394516,246.2119140625
125,AdamW,0.003,0.003,2.0980234146118164,1.8516728691756725,0.49609375,8,512,0.4772632122039795,246.2119140625
125,Lion,0.0001,0.0001,2.2991786003112793,2.302502192556858,0.10009765625,8,512,0.11153585091233253,244.095703125
125,Lion,0.0003,0.0003,2.3076348304748535,2.300192452967167,0.10009765625,8,512,0.28891509398818016,244.095703125
125,Lion,0.001,0.001,2.2804718017578125,2.2333389967679977,0.19970703125,8,512,0.2801383100450039,244.095703125
125,Muon,0.0003,0.0029999999999999996,2.299827814102173,2.2982941791415215,0.10009765625,8,512,0.6487681530416012,244.09814453125
125,Muon,0.001,0.01,2.2970871925354004,2.2636028677225113,0.10009765625,8,512,0.2056230865418911,244.09814453125
125,Muon,0.003,0.03,1.679878830909729,0.9544592574238777,0.99072265625,8,512,0.32181406766176224,244.09814453125
126,AdamW,0.0003,0.0003,2.291466474533081,2.303416319191456,0.10009765625,8,512,0.43472323566675186,246.2119140625
126,AdamW,0.001,0.001,2.283595085144043,2.2941863536834717,0.10009765625,8,512,0.021651986986398697,246.2119140625
126,AdamW,0.003,0.003,2.251336097717285,2.231559932231903,0.2001953125,8,512,0.017758984118700027,246.2119140625
126,Lion,0.0001,0.0001,2.2964282035827637,2.302922859787941,0.10009765625,8,512,0.03346489369869232,244.095703125
126,Lion,0.0003,0.0003,2.2949347496032715,2.303264133632183,0.10009765625,8,512,0.015605505555868149,244.095703125
126,Lion,0.001,0.001,2.285845994949341,2.2806733697652817,0.30029296875,8,512,0.0154331736266613,244.095703125
126,Muon,0.0003,0.0029999999999999996,2.2912166118621826,2.299545481801033,0.10009765625,8,512,0.24943295493721962,244.09814453125
126,Muon,0.001,0.01,2.2751541137695312,2.278682164847851,0.10400390625,8,512,0.17636585608124733,244.09814453125
126,Muon,0.003,0.03,1.852454423904419,1.4820567108690739,0.748046875,8,512,0.06524575129151344,244.09814453125
127,AdamW,0.0003,0.0003,2.297877311706543,2.300597444176674,0.10009765625,8,512,0.44144735112786293,246.2119140625
127,AdamW,0.001,0.001,2.2730798721313477,2.2778356075286865,0.18115234375,8,512,0.027666732668876648,246.2119140625
127,AdamW,0.003,0.003,2.1087684631347656,1.9389041252434254,0.47509765625,8,512,0.015869945287704468,246.2119140625
127,Lion,0.0001,0.0001,2.305405616760254,2.3026233837008476,0.10009765625,8,512,0.05151386931538582,244.095703125
127,Lion,0.0003,0.0003,2.2986416816711426,2.2999604120850563,0.10009765625,8,512,0.01873907819390297,244.095703125
127,Lion,0.001,0.001,2.2574052810668945,2.2499455884099007,0.19970703125,8,512,0.01677919179201126,244.095703125
127,Muon,0.0003,0.0029999999999999996,2.2988743782043457,2.2980436459183693,0.10009765625,8,512,0.2841409593820572,244.09814453125
127,Muon,0.001,0.01,2.2675490379333496,2.270273879170418,0.19970703125,8,512,0.03316567838191986,244.09814453125
127,Muon,0.003,0.03,1.6652576923370361,1.0637481436133385,0.94921875,8,512,0.0396878719329834,244.09814453125
