optimizer,train_loss,val_loss,tokens_seen,steps,seconds,peak_memory_mb,hellaswag_acc_norm,gsm8k_exact_match
AdamW,1.7814381122589111,5.214910825093587,50944,100,1.495317567139864,1783.77587890625,0.3,0.0
Lion,2.655681610107422,7.376241048177083,50944,100,1.1823166944086552,2103.66845703125,0.255,0.0
Muon,2.9208030700683594,8.26260773340861,50944,100,2.1226403079926968,2248.15283203125,0.22,0.0
